"member_id","renewed"
1,"Yes"
2,"Yes"
3,"No"
4,"No"
5,"Yes"
6,"Yes"
7,"Yes"
8,"No"
9,"Yes"
10,"No"
11,"Yes"
12,"Yes"
13,"Yes"
14,"Yes"
15,"Yes"
16,"Yes"
17,"Yes"
18,"Yes"
19,"Yes"
20,"Yes"
21,"Yes"
22,"Yes"
23,"Yes"
24,"Yes"
25,"Yes"
26,"No"
27,"Yes"
28,"No"
29,"Yes"
30,"Yes"
31,"Yes"
32,"No"
33,"No"
34,"Yes"
35,"Yes"
36,"No"
37,"Yes"
38,"Yes"
39,"Yes"
40,"Yes"
41,"Yes"
42,"Yes"
43,"Yes"
44,"No"
45,"Yes"
46,"No"
47,"Yes"
48,"Yes"
49,"No"
50,"Yes"
51,"Yes"
52,"Yes"
53,"Yes"
54,"Yes"
55,"Yes"
56,"Yes"
57,"No"
58,"Yes"
59,"Yes"
60,"Yes"
61,"Yes"
62,"Yes"
63,"Yes"
64,"Yes"
65,"Yes"
66,"No"
67,"Yes"
68,"Yes"
69,"Yes"
70,"No"
71,"Yes"
72,"Yes"
73,"Yes"
74,"Yes"
75,"Yes"
76,"No"
77,"Yes"
78,"Yes"
79,"Yes"
80,"Yes"
81,"Yes"
82,"Yes"
83,"Yes"
84,"Yes"
85,"Yes"
86,"Yes"
87,"Yes"
88,"Yes"
89,"Yes"
90,"Yes"
91,"Yes"
92,"No"
93,"Yes"
94,"No"
95,"Yes"
96,"Yes"
97,"Yes"
98,"Yes"
99,"Yes"
100,"Yes"
101,"Yes"
102,"Yes"
103,"Yes"
104,"Yes"
105,"Yes"
106,"No"
107,"Yes"
108,"Yes"
109,"Yes"
110,"Yes"
111,"Yes"
112,"Yes"
113,"Yes"
114,"Yes"
115,"Yes"
116,"Yes"
117,"No"
118,"No"
119,"Yes"
120,"Yes"
121,"Yes"
122,"No"
123,"No"
124,"No"
125,"Yes"
126,"Yes"
127,"Yes"
128,"Yes"
129,"No"
130,"Yes"
131,"Yes"
132,"No"
133,"Yes"
134,"Yes"
135,"No"
136,"Yes"
137,"No"
138,"No"
139,"Yes"
140,"Yes"
141,"Yes"
142,"Yes"
143,"Yes"
144,"Yes"
145,"Yes"
146,"No"
147,"Yes"
148,"Yes"
149,"Yes"
150,"No"
151,"Yes"
152,"Yes"
153,"Yes"
154,"Yes"
155,"Yes"
156,"Yes"
157,"No"
158,"Yes"
159,"Yes"
160,"Yes"
161,"Yes"
162,"No"
163,"Yes"
164,"Yes"
165,"Yes"
166,"Yes"
167,"Yes"
168,"No"
169,"No"
170,"Yes"
171,"No"
172,"Yes"
173,"Yes"
174,"Yes"
175,"No"
176,"No"
177,"Yes"
178,"Yes"
179,"No"
180,"No"
181,"Yes"
182,"No"
183,"Yes"
184,"No"
185,"Yes"
186,"Yes"
187,"No"
188,"Yes"
189,"No"
190,"Yes"
191,"No"
192,"Yes"
193,"Yes"
194,"No"
195,"Yes"
196,"No"
197,"Yes"
198,"No"
199,"Yes"
200,"Yes"
