"store_id","sales2012_k","population_3mi","income_3mi","yelp_rating","endcap"
1,1651,15432,47644,1.5,1
2,3517,51425,31273,4.0,1
3,3431,54496,67161,4.0,1
4,1328,63234,47911,1.0,1
5,4677,64222,49429,5.0,1
6,4699,76547,91781,5.0,1
7,3704,81091,45834,4.0,1
8,3907,81495,61567,4.5,1
9,2441,99660,54657,2.5,1
10,2550,102122,53474,2.5,1
11,3887,111246,61989,4.5,1
12,5112,116345,56149,5.0,1
13,4677,118329,58673,5.0,1
14,2933,120915,26588,3.0,1
15,4733,133281,68709,5.0,1
16,4607,135325,48502,5.0,1
17,3375,150982,33792,5.0,1
18,1764,182381,35875,1.5,1
19,4360,387887,39480,5.0,1
20,3444,389167,38821,4.0,1
21,2285,396904,38957,2.0,1
22,2734,459473,47320,3.0,1
23,2496,527877,51200,2.0,1
24,2631,27486,110148,4.0,0
25,2165,35436,64938,3.0,0
26,2869,36788,78608,5.0,0
27,1926,65415,50281,2.5,0
28,3291,66395,82936,5.0,0
29,2302,80210,58287,3.0,0
30,1913,81438,65130,2.5,0
31,1681,105833,88587,2.0,0
32,1272,109139,106508,1.0,0
33,2128,110247,73393,3.0,0
34,2362,115501,66667,3.5,0
35,2069,121059,56754,3.0,0
36,1059,125624,60894,1.0,0
37,1691,127477,73027,2.0,0
38,1399,156559,63554,1.0,0
39,1695,163039,36416,2.0,0
40,1502,171086,63085,1.5,0
41,2148,192373,44851,3.0,0
42,2033,193961,69780,2.5,0
43,1460,250989,60684,1.5,0
44,1690,380860,62821,2.0,0
45,2186,386399,44625,3.0,0
