Rent,Size,Bedrooms,DistDowntown,Renovated
1190,720,1,5.2,0
1710,850,2,3.1,1
960,600,1,7.8,0
2280,1100,3,2,1
1850,950,2,4.5,1
1420,780,2,6,0
2590,1250,3,1.5,1
1080,680,1,8.2,0
1710,900,2,3.9,1
2210,1050,3,2.3,1
1050,640,1,9.1,0
2480,1180,3,1.8,1
1460,820,2,5.5,0
1950,990,2,4,1
1130,710,1,6.7,0
2740,1300,3,1.2,1
1260,760,2,7,0
1770,880,2,4.8,1
2180,1020,3,2.6,1
1090,670,1,8,0
1910,930,2,3.4,1
2540,1150,3,1.9,1
1390,800,2,5,0
2420,1080,3,2.2,1
1100,740,1,7.5,0
1960,960,2,4.2,1
1110,690,1,8.6,0
2620,1220,3,1.6,1
1800,870,2,4.6,1
2080,1000,3,2.8,1
